内容,分词,分词文本,情感标签,情感置信度
人生是曲线，有高就有底，有起有落。至少他童星生涯是完美的。,"['人生', '曲线', '有底', '有起', '至少', '童星', '生涯', '完美']",人生 曲线 有底 有起 至少 童星 生涯 完美,positive,0.9878767728805542
这孩子演技太好啦，最好的童星，没有之一。他的眼神里就透着淡淡忧伤。,"['孩子', '演技', '太好', '最好', '童星', '没有', '眼神', '淡淡', '忧伤']",孩子 演技 太好 最好 童星 没有 眼神 淡淡 忧伤,positive,0.987756609916687
小美人鱼一样，肉体变成了泡沫，但灵魂进入了天堂。,"['美人鱼', '肉体', '变成', '泡沫', '灵魂', '进入', '天堂']",美人鱼 肉体 变成 泡沫 灵魂 进入 天堂,positive,0.9843130111694336
这段太难过啦。越幸福就越让人难过。上帝视角才会有慈悲心。,"['这段', '难过', '幸福', '难过', '上帝', '视角', '慈悲心']",这段 难过 幸福 难过 上帝 视角 慈悲心,positive,0.807133674621582
无论如何，他都变成了一个真正的孩子，因为他有灵魂。,"['无论如何', '变成', '真正', '孩子', '灵魂']",无论如何 变成 真正 孩子 灵魂,positive,0.9890563488006592
外星人太温柔啦。真得是高阶生物体。,"['外星人', '温柔', '真得', '高阶', '生物体']",外星人 温柔 真得 高阶 生物体,positive,0.8705850839614868
大卫已经有了复杂的感情,"['大卫', '已经', '复杂', '感情']",大卫 已经 复杂 感情,positive,0.9895734190940857
这段哭死！被抛弃的孩子太可怜啦！,"['这段', '抛弃', '孩子', '可怜']",这段 抛弃 孩子 可怜,positive,0.6613524556159973
儿子确定不在，再激活呀,"['儿子', '确定', '激活']",儿子 确定 激活,positive,0.9694719314575195
小熊也爱妈咪，它珍藏了妈咪的头发2000年,"['小熊', '妈咪', '珍藏', '妈咪', '头发']",小熊 妈咪 珍藏 妈咪 头发,positive,0.9900866150856018
其实妈妈真的把他当做了小孩，才会给他一条生路,"['其实', '妈妈', '真的', '当做', '小孩', '一条', '生路']",其实 妈妈 真的 当做 小孩 一条 生路,positive,0.9835061430931091
他現在超胖,"['他現', '超胖']",他現 超胖,negative,0.7487791776657104
最難過的一段來了,"['最難過', '一段']",最難過 一段,negative,0.7266791462898254
比起大衛 我更想要泰迪,"['比起', '大衛', '想要', '泰迪']",比起 大衛 想要 泰迪,positive,0.8846005797386169
三体人（确信）,"['三体', '确信']",三体 确信,positive,0.9511112570762634
怎么有点像头号玩家,"['有点像', '头号', '玩家']",有点像 头号 玩家,negative,0.6449896693229675
前后看了四遍,['四遍'],四遍,positive,0.9530220627784729
威廉赫特,"['威廉', '赫特']",威廉 赫特,positive,0.9431333541870117
没有人，机器人哪有市场。花那么多钱研发收不回成本，资本运转失败。,"['没有', '机器人', '哪有', '市场', '多钱', '研发', '收不回', '成本', '资本', '运转', '失败']",没有 机器人 哪有 市场 多钱 研发 收不回 成本 资本 运转 失败,negative,0.9722304940223694
人皆有不忍人之心,"['不忍', '人之心']",不忍 人之心,positive,0.508404016494751
像眼泪一样,['眼泪'],眼泪,negative,0.9693673253059387
是复活，不是克隆。时空不允许,"['复活', '不是', '克隆', '时空', '允许']",复活 不是 克隆 时空 允许,negative,0.6072221994400024
你这么一说我才发现这是狙击手瓦西里，哈哈哈,"['一说', '发现', '这是', '狙击手', '瓦西里', '哈哈哈']",一说 发现 这是 狙击手 瓦西里 哈哈哈,positive,0.9363769888877869
现在几十年过去了主角还长这样儿，不过变胖了。。。,"['现在', '几十年', '过去', '主角', '还长', '这样儿', '变胖']",现在 几十年 过去 主角 还长 这样儿 变胖,positive,0.952354371547699
玩具总动员2里头也梗了这里，巴斯光年成了旧型号，没有腰带,"['玩具', '总动员', '里头', '巴斯', '光年', '型号', '没有', '腰带']",玩具 总动员 里头 巴斯 光年 型号 没有 腰带,negative,0.8421112895011902
结尾泰迪默默的爬上床尾那段也该剪进来，太好哭了,"['结尾', '泰迪', '默默', '上床', '那段', '进来', '太好']",结尾 泰迪 默默 上床 那段 进来 太好,positive,0.9902846217155457
害怕死了看到这里,"['害怕', '看到']",害怕 看到,negative,0.9111600518226624
思想钢印,"['思想', '钢印']",思想 钢印,positive,0.8500239253044128
可惜长残了,"['可惜', '长残']",可惜 长残,negative,0.6304906606674194
我还以为是外星人,"['以为', '外星人']",以为 外星人,negative,0.8304225206375122
哥们小时候也不错,"['哥们', '小时候', '不错']",哥们 小时候 不错,positive,0.9728787541389465
还不如返厂呢,['返厂'],返厂,negative,0.9447708129882812
其实这个镜头挺重要的，妈妈一直拉着大卫的手，表明注入感情了,"['其实', '镜头', '重要', '妈妈', '拉着', '大卫', '表明', '注入', '感情']",其实 镜头 重要 妈妈 拉着 大卫 表明 注入 感情,positive,0.992213785648346
从未遗忘过大卫的眼睛，,"['从未', '遗忘', '大卫', '眼睛']",从未 遗忘 大卫 眼睛,positive,0.9898161888122559
这是哭的最惨的科幻电影，但每年重温,"['最惨', '科幻电影', '每年', '重温']",最惨 科幻电影 每年 重温,positive,0.9912458062171936
你这视频的帧率怎么这么低？,['视频'],视频,negative,0.838972806930542
巨大的悲剧，受不了的跑路吧,"['巨大', '悲剧', '受不了']",巨大 悲剧 受不了,negative,0.623850405216217
这是外星人吧,"['这是', '外星人']",这是 外星人,negative,0.6875274181365967
市面上也没有什么比人工智能好的电影,"['市面上', '没有', '人工智能', '电影']",市面上 没有 人工智能 电影,negative,0.537104070186615
我的宝贝～～～,['宝贝'],宝贝,positive,0.8287799954414368
别说2000年，现在也不行，没真人的那个感觉,"['现在', '不行', '真人', '感觉']",现在 不行 真人 感觉,negative,0.822557806968689
]2698'37】,[],,positive,0.6094875335693359
这个是不是后来在屠宰场那个女的,"['是不是', '后来', '屠宰场']",是不是 后来 屠宰场,positive,0.6275192499160767
up夹带私货哈哈哈哈哈“长得真像蔡明”,"['up', '夹带', '私货', '哈哈哈', '长得', '真像', '蔡明']",up 夹带 私货 哈哈哈 长得 真像 蔡明,positive,0.7351534366607666
他还演过黑袍纠察队 被布彻打死了,"['演过', '黑袍', '纠察队', '布彻', '打死']",演过 黑袍 纠察队 布彻 打死,positive,0.710776150226593
记住这个头发，是伏笔,"['记住', '头发', '伏笔']",记住 头发 伏笔,positive,0.9848419427871704
怎么做到不眨眼的啊太厉害了,"['做到', '眨眼', '厉害']",做到 眨眼 厉害,negative,0.590888261795044
科技这么发达，再造一个妈咪,"['科技', '发达', '再造', '妈咪']",科技 发达 再造 妈咪,positive,0.9895338416099548
泰迪熊也爱妈妈，也希望得到爱，所以它留了那缕头发,"['泰迪熊', '妈妈', '希望', '得到', '那缕', '头发']",泰迪熊 妈妈 希望 得到 那缕 头发,positive,0.9872831106185913
伟大的作品,"['伟大', '作品']",伟大 作品,positive,0.9922453761100769
唉，其实还不如送去销毁，长期忍受感情上的折磨更为痛苦,"['其实', '销毁', '长期', '忍受', '感情', '折磨', '更为', '痛苦']",其实 销毁 长期 忍受 感情 折磨 更为 痛苦,negative,0.6754009127616882
他演过好多电影,"['演过', '好多', '电影']",演过 好多 电影,positive,0.9881755113601685
哈哈哈哈哈,['哈哈哈'],哈哈哈,positive,0.779482901096344
泰迪熊好可爱,"['泰迪熊', '可爱']",泰迪熊 可爱,positive,0.9692916870117188
差点以为触发连招,"['差点', '以为', '触发', '连招']",差点 以为 触发 连招,positive,0.563927948474884
剧情逐渐离谱,"['剧情', '逐渐', '离谱']",剧情 逐渐 离谱,negative,0.8284378051757812
ChatGPT 哈哈,['ChatGPT'],ChatGPT,positive,0.7231456637382507
赛……赛博牛郎？,"['赛博', '牛郎']",赛博 牛郎,positive,0.763656735420227
看起来像渣康小时候,"['看起来', '渣康', '小时候']",看起来 渣康 小时候,negative,0.7247856855392456
关机睡觉,"['关机', '睡觉']",关机 睡觉,negative,0.6105606555938721
还不如让人家返厂,['返厂'],返厂,negative,0.9647229909896851
妇联的特工？,"['妇联', '特工']",妇联 特工,negative,0.5039491057395935
双面人？,['双面'],双面,negative,0.5943716168403625
蜥蜴博士,"['蜥蜴', '博士']",蜥蜴 博士,positive,0.9738926887512207
我去，三体思维模式,"['三体', '思维', '模式']",三体 思维 模式,positive,0.8448233008384705
看过这个，不过是d版的枪板vcd，一直没看懂,"['看过', '枪板', 'vcd', '没看']",看过 枪板 vcd 没看,positive,0.9280285835266113
人类连自己都不爱，还说爱机器人,"['人类', '机器人']",人类 机器人,negative,0.9405535459518433
天人感应,['感应'],感应,positive,0.5620770454406738
人家除了长得像外星人，电影里有提过说是外星人吗？一个个咋这么轴呢,"['长得', '外星人', '电影', '提过', '外星人', '一个个']",长得 外星人 电影 提过 外星人 一个个,negative,0.5076494216918945
非常好看,"['非常', '好看']",非常 好看,positive,0.9726890921592712
原来是他,['原来'],原来,positive,0.7791222333908081
这段 真的 太难受,"['真的', '太难受']",真的 太难受,negative,0.8405430912971497
哈哈，董仲舒想当刘彻的教皇,"['董仲舒', '想当', '刘彻', '教皇']",董仲舒 想当 刘彻 教皇,positive,0.9904728531837463
人家的CG是越来越靠近人，郭导的CG是越来越不像人,"['CG', '越来越', '靠近', '郭导', 'CG', '越来越', '不像']",CG 越来越 靠近 郭导 CG 越来越 不像,positive,0.904333233833313
这个男的机器人找了一个女人的配件,"['机器人', '女人', '配件']",机器人 女人 配件,negative,0.5174049139022827
这个应该是女版的吧？我喜欢,"['应该', '女版', '喜欢']",应该 女版 喜欢,positive,0.9650600552558899
人族制造值得信赖,"['人族', '制造', '值得', '信赖']",人族 制造 值得 信赖,positive,0.9824553728103638
人工智能版的匹诺曹,"['人工智能', '匹诺']",人工智能 匹诺,positive,0.9279940724372864
没有明说 既可以看成机器人  也可以认为是外星人,"['没有', '明说', '看成', '机器人', '认为', '外星人']",没有 明说 看成 机器人 认为 外星人,negative,0.8017426133155823
经典赛博场景  黑夜 霓虹灯 下过雨的地面,"['经典', '赛博', '场景', '黑夜', '霓虹灯', '下过', '地面']",经典 赛博 场景 黑夜 霓虹灯 下过 地面,positive,0.9783307313919067
一眼万年,"['一眼', '万年']",一眼 万年,positive,0.8824765682220459
这个女员工长得好像老大,"['员工', '长得', '好像', '老大']",员工 长得 好像 老大,positive,0.6215381622314453
电能可比生物能效率高多了,"['电能', '可比', '生物能', '效率高']",电能 可比 生物能 效率高,positive,0.958113431930542
郭敬明导演的cg技术才是真的创造历史，哈哈哈,"['郭敬明', '导演', 'cg', '技术', '真的', '创造', '历史', '哈哈哈']",郭敬明 导演 cg 技术 真的 创造 历史 哈哈哈,positive,0.9936315417289734
一根一根用不就能件妈咪好多天，再不行一根剪成好几段嘛,"['一根', '一根', '能件', '妈咪', '好多天', '不行', '一根', '剪成', '几段']",一根 一根 能件 妈咪 好多天 不行 一根 剪成 几段,negative,0.8281365036964417
不是外星人吗？,"['不是', '外星人']",不是 外星人,negative,0.8718015551567078
莫妮卡仁至义尽了,"['莫妮卡', '仁至义尽']",莫妮卡 仁至义尽,positive,0.852003276348114
机器人用太阳能 自然力发电 核反应堆,"['机器人', '太阳能', '自然力', '发电', '核反应堆']",机器人 太阳能 自然力 发电 核反应堆,positive,0.8480777144432068
是那个男的先决定放弃大卫，反而是母亲变得纠结了,"['决定', '放弃', '大卫', '反而', '母亲', '变得', '纠结']",决定 放弃 大卫 反而 母亲 变得 纠结,positive,0.7830548286437988
离谱什么，这是一个母亲的矛盾和善良，她不想销毁大卫，但他毕竟是个机器人,"['离谱', '这是', '母亲', '矛盾', '善良', '不想', '销毁', '大卫', '毕竟', '机器人']",离谱 这是 母亲 矛盾 善良 不想 销毁 大卫 毕竟 机器人,negative,0.6839075684547424
还不如销毁,['销毁'],销毁,negative,0.9790886044502258
不，我觉得这正体现了小男孩的纯洁性，这不是指令的问题,"['觉得', '这正', '体现', '小男孩', '纯洁性', '不是', '指令', '问题']",觉得 这正 体现 小男孩 纯洁性 不是 指令 问题,positive,0.9602836966514587
这部电影太动人了，不是指对母爱的渴求,"['这部', '电影', '动人', '不是', '指对', '母爱', '渴求']",这部 电影 动人 不是 指对 母爱 渴求,positive,0.9582787156105042
这里稍微想下就知道是机器人更合理,"['稍微', '想下', '知道', '机器人', '合理']",稍微 想下 知道 机器人 合理,positive,0.9384430050849915
一个机器跑啥呀,['机器'],机器,negative,0.8438845872879028
用了器具  被杀,['器具'],器具,negative,0.9247962832450867
养个狗不好吗,"['养个', '不好']",养个 不好,negative,0.8856600522994995
这他娘的是外星人，怎么可能是机器人呢？,"['外星人', '可能', '机器人']",外星人 可能 机器人,negative,0.9119031429290771
我在家里上厕所也会锁门呀,"['家里', '厕所', '锁门']",家里 厕所 锁门,negative,0.570747435092926
人类爱人类自己吗？,"['人类', '人类']",人类 人类,positive,0.7174028754234314
小时候真是哭的稀里哗啦的，现在也是很感动,"['小时候', '真是', '稀里哗啦', '现在', '感动']",小时候 真是 稀里哗啦 现在 感动,positive,0.9914062023162842
小时候以为是外星人,"['小时候', '以为', '外星人']",小时候 以为 外星人,negative,0.5065698623657227
就是这部电影第一次认识了裘德洛，当年是我唯一叫得出名字的外国明星,"['这部', '电影', '第一次', '认识', '裘德洛', '当年', '唯一', '得出', '名字', '外国', '明星']",这部 电影 第一次 认识 裘德洛 当年 唯一 得出 名字 外国 明星,positive,0.9914161562919617
小时候看哭了,['小时候'],小时候,positive,0.9487817287445068
是机器人,['机器人'],机器人,negative,0.5810523629188538
更偏向于童话故事，温馨一点,"['偏向', '童话故事', '温馨', '一点']",偏向 童话故事 温馨 一点,positive,0.9880560636520386
一直喜欢看虐待机器人的观众突然反水围殴老板,"['喜欢', '虐待', '机器人', '观众', '突然', '反水', '围殴', '老板']",喜欢 虐待 机器人 观众 突然 反水 围殴 老板,positive,0.6973382830619812
很像外星文明,"['外星', '文明']",外星 文明,negative,0.5285167098045349
现在我们正在步入AI时代不知未来会怎样,"['现在', '正在', '步入', 'AI', '时代', '不知', '未来']",现在 正在 步入 AI 时代 不知 未来,positive,0.9045770764350891
结尾处的外星人都是机器人,"['结尾处', '外星人', '机器人']",结尾处 外星人 机器人,positive,0.5867698192596436
人类的复杂怎么可能复制的出来，,"['人类', '复杂', '可能', '复制', '出来']",人类 复杂 可能 复制 出来,positive,0.7807416915893555
这是外星人,"['这是', '外星人']",这是 外星人,negative,0.7786234021186829
外星人还是机器人？,"['外星人', '机器人']",外星人 机器人,negative,0.813475489616394
剧本太牛逼了,"['剧本', '太牛']",剧本 太牛,positive,0.8755919933319092
这是第八代，我在现场,"['这是', '第八代', '现场']",这是 第八代 现场,positive,0.9221184253692627
不是外星人吗,"['不是', '外星人']",不是 外星人,negative,0.8475562334060669
两千多年一个德行,"['两千多年', '德行']",两千多年 德行,negative,0.9392682909965515
你都在这看电影解说了还怕啥剧透啊,"['电影', '解说', '剧透']",电影 解说 剧透,positive,0.7787848711013794
我觉得精彩多了,"['觉得', '精彩']",觉得 精彩,positive,0.9618894457817078
千万别搜他现在的样子，已经是肥宅了,"['千万别', '搜他', '现在', '样子', '已经', '肥宅']",千万别 搜他 现在 样子 已经 肥宅,negative,0.867107629776001
并不笨拙，是动作捕捉技术，动捕演员现在都成绝地大师了,"['笨拙', '动作', '捕捉', '技术', '动捕', '演员', '现在', '绝地', '大师']",笨拙 动作 捕捉 技术 动捕 演员 现在 绝地 大师,positive,0.9912369251251221
世贸双塔，音容宛在，，,"['世贸', '双塔', '音容宛在']",世贸 双塔 音容宛在,positive,0.9669420123100281
别急，后面还有的哭的,"['别急', '后面']",别急 后面,negative,0.7304581999778748
黑客帝国里说的吧,['黑客帝国'],黑客帝国,positive,0.8755385875701904
像方力申,['方力申'],方力申,positive,0.7345698475837708
光这张脸就够了,['张脸'],张脸,positive,0.6451795101165771
那机器人用的是什么资源,"['机器人', '资源']",机器人 资源,negative,0.9372101426124573
ai不能识别月亮是吧,"['ai', '不能', '识别', '月亮']",ai 不能 识别 月亮,negative,0.6586636304855347
会做梦说明是个真正意义上的人了,"['做梦', '说明', '真正', '意义']",做梦 说明 真正 意义,positive,0.905868411064148
大卫独一无二,"['大卫', '独一无二']",大卫 独一无二,positive,0.8420892953872681
从此男孩有了梦想,"['从此', '男孩', '梦想']",从此 男孩 梦想,positive,0.9604563117027283
当时在网吧，这段给我看哭了,"['当时', '网吧', '这段']",当时 网吧 这段,negative,0.6157107353210449
记得这只熊非常重要,"['记得', '非常', '重要']",记得 非常 重要,positive,0.9767902493476868
我靠三体人,['三体'],三体,positive,0.6208272576332092
第六感也经典到发指,"['第六感', '经典', '发指']",第六感 经典 发指,positive,0.9888626337051392
刚才不是说他的故事广为流传吗？,"['刚才', '不是', '故事', '广为流传']",刚才 不是 故事 广为流传,positive,0.6551170349121094
这段就有点扯,"['这段', '有点']",这段 有点,positive,0.5282341837882996
坑爹女人,"['坑爹', '女人']",坑爹 女人,negative,0.8984119296073914
理智，或者说是重利,"['理智', '或者说', '重利']",理智 或者说 重利,positive,0.9545255303382874
电影之神库布里克,"['电影', '之神库', '布里克']",电影 之神库 布里克,positive,0.9861942529678345
可能并不是在演而是在做自己,"['可能', '不是']",可能 不是,positive,0.5244969725608826
他现在算是真正的人了因为是机器人的世界,"['现在', '算是', '真正', '机器人', '世界']",现在 算是 真正 机器人 世界,positive,0.9616594314575195
深渊巨口,"['深渊', '巨口']",深渊 巨口,positive,0.9716098308563232
我完全不这么觉得，是不一样的方向的哲学提问,"['完全', '觉得', '方向', '哲学', '提问']",完全 觉得 方向 哲学 提问,positive,0.6175334453582764
还把泰迪带跑了,['泰迪带'],泰迪带,negative,0.8214187026023865
跟我一样大,[],,negative,0.6683002710342407
好电影牙,['电影'],电影,positive,0.985289990901947
确实够了，一个人一辈子，一部经典电影,"['确实', '一辈子', '一部', '经典电影']",确实 一辈子 一部 经典电影,positive,0.9937235713005066
大卫杀另一个大卫时可以视为已经成人类,"['大卫', '大卫', '视为', '已经', '人类']",大卫 大卫 视为 已经 人类,positive,0.9397619962692261
不会，这和超时空接触一样，值得细看,"['不会', '超时空', '接触', '值得', '细看']",不会 超时空 接触 值得 细看,positive,0.9762880802154541
有个美版最终幻想,"['有个', '美版', '最终幻想']",有个 美版 最终幻想,positive,0.9849219918251038
小时候看过这电影，我一直以为是外星人,"['小时候', '看过', '电影', '以为', '外星人']",小时候 看过 电影 以为 外星人,positive,0.700027346611023
真的是好电影,"['真的', '电影']",真的 电影,positive,0.9888325929641724
这样的眼神，真的是大杀器,"['眼神', '真的', '杀器']",眼神 真的 杀器,positive,0.9669089317321777
这片子太超前了,"['片子', '太超前']",片子 太超前,positive,0.8990174531936646
哭死了....这段,"['哭死了', '....', '这段']",哭死了 .... 这段,negative,0.5400969982147217
90年代电影黄金时代  优秀电影太多了,"['年代', '电影', '黄金时代', '优秀', '电影', '太多']",年代 电影 黄金时代 优秀 电影 太多,positive,0.9878467917442322
记住这部电影里小男主的样子，那是他的颜值巅峰,"['记住', '这部', '电影', '男主', '样子', '颜值', '巅峰']",记住 这部 电影 男主 样子 颜值 巅峰,positive,0.9936097860336304
就像现实的拉斯维加斯,"['现实', '拉斯维加斯']",现实 拉斯维加斯,positive,0.530144989490509
颜值逆天啊,"['颜值', '逆天']",颜值 逆天,negative,0.8824097514152527
社会老油子机器人,"['社会', '老油子', '机器人']",社会 老油子 机器人,positive,0.8858659267425537
真的精彩,"['真的', '精彩']",真的 精彩,positive,0.9892347455024719
一说是外星人,"['一说', '外星人']",一说 外星人,negative,0.8763829469680786
阿丽塔也很不是很自然……,"['阿丽塔', '不是', '自然']",阿丽塔 不是 自然,negative,0.6040670871734619
即使现在的cg技术也比不上一个有灵气的好演员，比如海利乔奥斯蒙,"['现在', 'cg', '技术', '比不上', '灵气', '演员', '海利', '乔奥斯蒙']",现在 cg 技术 比不上 灵气 演员 海利 乔奥斯蒙,positive,0.9888563752174377
真是小天使,"['真是', '小天使']",真是 小天使,positive,0.8296584486961365
背景是国王的新衣、辛德瑞拉等，这个怎么不解读啊,"['背景', '国王', '新衣', '辛德', '瑞拉', '解读']",背景 国王 新衣 辛德 瑞拉 解读,negative,0.571038544178009
赛博男公关,"['赛博', '男公关']",赛博 男公关,positive,0.9417557120323181
裘德洛就帅了那么一会儿。。。,"['裘德洛', '就帅', '一会儿']",裘德洛 就帅 一会儿,positive,0.9879611134529114
对哟，老弋这么一说才发现，他们俩演的这么传神原因就是没眨眼睛！！！,"['老弋', '一说', '发现', '传神', '原因', '眨眼睛']",老弋 一说 发现 传神 原因 眨眼睛,positive,0.8278642892837524
这个女人真离谱啊,"['女人真', '离谱']",女人真 离谱,negative,0.640016496181488
肯定啊！,['肯定'],肯定,positive,0.7272701263427734
这孩子简直神了,"['孩子', '简直']",孩子 简直,positive,0.9019801020622253
太感人了,['感人'],感人,negative,0.7974653244018555
这电影拍的也太好了,"['电影', '太好了']",电影 太好了,positive,0.9595376253128052
真是好电影,"['真是', '电影']",真是 电影,positive,0.9885860085487366
看的时候哭死,[],,negative,0.817013680934906
是外星人吧？,['外星人'],外星人,negative,0.8542304635047913
小时候看没感觉，现在自己当爹了，感觉好暖,"['小时候', '感觉', '现在', '当爹', '感觉']",小时候 感觉 现在 当爹 感觉,positive,0.9875326752662659
这段话太nb了,"['这段话', 'nb']",这段话 nb,positive,0.836548924446106
我一直以为这些是外星人,"['以为', '外星人']",以为 外星人,negative,0.6971117258071899
许个愿吧！它实现了,"['许个', '实现']",许个 实现,positive,0.6483604907989502
剧透不好哦~,"['剧透', '不好']",剧透 不好,negative,0.746191143989563
是，绝对,['绝对'],绝对,positive,0.62582927942276
已三连，求完整版讲义～,"['已三连', '完整版', '讲义']",已三连 完整版 讲义,positive,0.973577082157135
教授讲的很详细，看完收获很大！,"['教授', '详细', '收获', '很大']",教授 详细 收获 很大,positive,0.9937357902526855
不愧是AI大佬，课程讲的很好！！,"['不愧', 'AI', '大佬', '课程']",不愧 AI 大佬 课程,positive,0.9921784400939941
众史登场,"['众史', '登场']",众史 登场,positive,0.9882926344871521
能预测A股走势吗（do,"['预测', 'A股', '走势', 'do']",预测 A股 走势 do,positive,0.6476297378540039
说吧，是kimi还是豆包,"['kimi', '豆包']",kimi 豆包,positive,0.6496382355690002
人的一部分智能,"['一部分', '智能']",一部分 智能,positive,0.9892590641975403
你说维特根斯坦发他老师罗素的照片干嘛？,"['维特根斯坦', '发他', '老师', '罗素', '照片', '干嘛']",维特根斯坦 发他 老师 罗素 照片 干嘛,positive,0.501413881778717
我是罗素，谢谢,"['罗素', '谢谢']",罗素 谢谢,positive,0.9412645697593689
就没人知道deepseek,"['没人', '知道', 'deepseek']",没人 知道 deepseek,negative,0.7081730365753174
那确实是打败了，我的多走了一步对面都看不出来,"['确实', '打败', '一步', '对面', '看不出来']",确实 打败 一步 对面 看不出来,negative,0.6925781965255737
碳基生物才能最搞笑的利用能源~,"['碳基', '生物', '才能', '搞笑', '利用', '能源']",碳基 生物 才能 搞笑 利用 能源,positive,0.9878159165382385
坏了，我成替身了,"['我成', '替身']",我成 替身,negative,0.9519054889678955
不是联结吗？,"['不是', '联结']",不是 联结,negative,0.8354504108428955
怎么没有deepseek,"['没有', 'deepseek']",没有 deepseek,negative,0.7517654895782471
︿(￣︶￣)︿,[],,positive,0.5122754573822021
